key,file,line,context,is_dynamic,in_catalog,risk
Couldn't Start ChillNote,chillnote/ChillNoteApp.swift,61,Text,False,True,low
"Local data initialization failed. Please try again. If it still fails, restart the app or free up device storage and try again.",chillnote/ChillNoteApp.swift,64,Text,False,True,medium
Retry Initialization,chillnote/ChillNoteApp.swift,75,Button,False,True,low
ChillNote,chillnote/Features/AboutView.swift,18,Text,False,True,low
Design Philosophy & Vision,chillnote/Features/AboutView.swift,22,Text,False,True,low
"""Capturing the speed of thought,
one voice at a time.""",chillnote/Features/AboutView.swift,27,Text,False,True,medium
"ChillNote is not just another note-taking app. It is a tool designed to realign the way we capture, process, and structure our thoughts. By prioritizing voice input and AI-driven organization, ChillNote addresses the friction between the human mind's speed and the limitations of traditional input methods.",chillnote/Features/AboutView.swift,39,Text,False,True,medium
What ChillNote is NOT,chillnote/Features/AboutView.swift,110,Text,False,True,low
"""Defining the boundaries to preserve the 'Chill'.""",chillnote/Features/AboutView.swift,115,Text,False,True,medium
Our Vision,chillnote/Features/AboutView.swift,144,Text,False,True,low
"ChillNote is an attempt to use technology to return us to a more natural, healthy, and efficient state of being.

It is for the dreamers who talk fast, the creators who hurt from typing, and anyone who believes their ideas deserve to be heard, not just written.",chillnote/Features/AboutView.swift,149,Text,False,True,medium
Pending Recordings,chillnote/Features/PendingRecordingsView.swift,155,modifier,False,True,low
Transcription Failed,chillnote/Features/PendingRecordingsView.swift,163,modifier,False,True,low
OK,chillnote/Features/PendingRecordingsView.swift,164,Button,False,True,low
No pending recordings,chillnote/Features/PendingRecordingsView.swift,177,Text,False,True,low
Delete,chillnote/Features/PendingRecordingsView.swift,214,Text,False,True,low
Save as Note,chillnote/Features/PendingRecordingsView.swift,246,Text,False,True,low
Saving...,chillnote/Features/PendingRecordingsView.swift,262,Text,False,True,low
Saved!,chillnote/Features/PendingRecordingsView.swift,277,Text,False,True,low
Settings,chillnote/Features/SettingsView.swift,43,Text,False,True,low
Sign Out,chillnote/Features/SettingsView.swift,110,modifier,False,True,low
Cancel,chillnote/Features/SettingsView.swift,111,Button,False,True,low
Sign Out,chillnote/Features/SettingsView.swift,112,Button,False,True,low
Are you sure you want to sign out?,chillnote/Features/SettingsView.swift,117,Text,False,True,low
Delete Account,chillnote/Features/SettingsView.swift,119,modifier,False,True,low
Cancel,chillnote/Features/SettingsView.swift,120,Button,False,True,low
Delete,chillnote/Features/SettingsView.swift,121,Button,False,True,low
Are you sure you want to delete your account? All your data will be permanently removed. This action cannot be undone.,chillnote/Features/SettingsView.swift,134,Text,False,True,medium
Deletion Failed,chillnote/Features/SettingsView.swift,136,modifier,False,True,low
OK,chillnote/Features/SettingsView.swift,137,Button,False,True,low
Export Failed,chillnote/Features/SettingsView.swift,141,modifier,False,True,low
Cancel,chillnote/Features/SettingsView.swift,142,Button,False,True,low
Retry,chillnote/Features/SettingsView.swift,143,Button,False,True,low
My Account,chillnote/Features/SettingsView.swift,162,Text,False,True,low
PRO,chillnote/Features/SettingsView.swift,166,Text,False,True,low
Subscription Plan,chillnote/Features/SettingsView.swift,193,Text,False,True,low
Sign In to ChillNote,chillnote/Features/SettingsView.swift,232,Text,False,True,low
Auto Detect,chillnote/Features/SettingsView.swift,539,Text,False,True,low
Preferred Language,chillnote/Features/SettingsView.swift,540,Text,False,True,low
Language will be inferred from audio. Mixed-language speech is preserved.,chillnote/Features/SettingsView.swift,546,Text,False,True,medium
Preferred language improves primary-language stability while preserving mixed-language speech.,chillnote/Features/SettingsView.swift,552,Text,False,True,medium
Search language,chillnote/Features/SettingsView.swift,557,TextField,False,True,low
Voice Transcription,chillnote/Features/SettingsView.swift,594,modifier,False,True,low
Close,chillnote/Features/SettingsView.swift,598,Button,False,True,low
Export Your Knowledge Base,chillnote/Features/SettingsView.swift,630,Text,False,True,low
"Generate a comprehensive Markdown archive of all your notes, organized by date. Perfect for backup or importing into other tools.",chillnote/Features/SettingsView.swift,636,Text,False,True,medium
SUMMARY,chillnote/Features/SettingsView.swift,649,Text,False,True,low
Total Notes,chillnote/Features/SettingsView.swift,665,Text,False,True,low
\(viewModel.estimatedNoteCount ?? 0),chillnote/Features/SettingsView.swift,674,Text,True,False,high
Export Format,chillnote/Features/SettingsView.swift,690,Text,False,True,low
Markdown,chillnote/Features/SettingsView.swift,695,Text,False,True,low
No notes found to export.,chillnote/Features/SettingsView.swift,730,Text,False,True,low
Export,chillnote/Features/SettingsView.swift,775,modifier,False,True,low
Close,chillnote/Features/SettingsView.swift,779,Button,False,True,low
Done,chillnote/Features/SettingsView.swift,933,Button,False,True,low
Discard,chillnote/Features/RecordingOverlayView.swift,75,Button,False,True,low
Retry Upload,chillnote/Features/RecordingOverlayView.swift,83,Button,False,True,low
Microphone and Speech access are required.,chillnote/Features/RecordingOverlayView.swift,121,Text,False,True,low
Request Access,chillnote/Features/RecordingOverlayView.swift,125,Button,False,True,low
Requests microphone permission.,chillnote/Features/RecordingOverlayView.swift,130,modifier,False,True,low
Open Settings,chillnote/Features/RecordingOverlayView.swift,131,Button,False,True,low
Opens system Settings for permissions.,chillnote/Features/RecordingOverlayView.swift,136,modifier,False,True,low
Done,chillnote/Features/RecordingOverlayView.swift,151,Text,False,True,low
Finish recording,chillnote/Features/RecordingOverlayView.swift,165,modifier,False,True,low
Stops recording and saves your note.,chillnote/Features/RecordingOverlayView.swift,166,modifier,False,True,low
Create,chillnote/Features/ChillRecipesView.swift,145,Text,False,True,low
Chill Recipes,chillnote/Features/ChillRecipesView.swift,162,modifier,False,True,low
Delete Recipe,chillnote/Features/ChillRecipesView.swift,183,modifier,False,True,low
Cancel,chillnote/Features/ChillRecipesView.swift,187,Button,False,True,low
Delete,chillnote/Features/ChillRecipesView.swift,188,Button,False,True,low
This will permanently delete this custom recipe.,chillnote/Features/ChillRecipesView.swift,195,Text,False,True,low
Remove,chillnote/Features/ChillRecipesView.swift,317,Label,False,True,low
Delete Permanently,chillnote/Features/ChillRecipesView.swift,322,Label,False,True,low
Prompt,chillnote/Features/ChillRecipesView.swift,426,Text,False,True,low
Name (e.g. Summarize),chillnote/Features/ChillRecipesView.swift,490,TextField,False,True,low
Icon,chillnote/Features/ChillRecipesView.swift,494,Text,False,True,low
Create Recipe,chillnote/Features/ChillRecipesView.swift,508,modifier,False,True,low
Cancel,chillnote/Features/ChillRecipesView.swift,512,Button,False,True,low
Save,chillnote/Features/ChillRecipesView.swift,515,Button,False,True,low
ChillNote,chillnote/Features/SidebarView.swift,52,Text,False,True,low
Open Settings,chillnote/Features/SidebarView.swift,71,modifier,False,True,low
Start organizing with tags,chillnote/Features/SidebarView.swift,122,Text,False,True,low
TAGS,chillnote/Features/SidebarView.swift,358,Text,False,True,low
Release to unnest,chillnote/Features/SidebarView.swift,366,Text,False,True,low
\(badgeCount),chillnote/Features/SidebarView.swift,494,Text,True,False,high
ChillNote Pro,chillnote/Features/SubscriptionView.swift,151,Text,False,True,low
Active,chillnote/Features/SubscriptionView.swift,170,Text,False,True,low
Renews on,chillnote/Features/SubscriptionView.swift,187,Text,False,True,low
Your Active Privileges,chillnote/Features/SubscriptionView.swift,204,Text,False,True,low
Manage Subscription,chillnote/Features/SubscriptionView.swift,218,Text,False,True,low
Restore Purchases,chillnote/Features/SubscriptionView.swift,230,Text,False,True,low
Upgrade to Pro,chillnote/Features/SubscriptionView.swift,279,Text,False,True,low
Unlock the full power of ChillNote,chillnote/Features/SubscriptionView.swift,283,Text,False,True,low
Current Plan,chillnote/Features/SubscriptionView.swift,292,Text,False,True,low
Retry,chillnote/Features/SubscriptionView.swift,345,Button,False,True,low
No subscription product is currently available.,chillnote/Features/SubscriptionView.swift,353,Text,False,True,low
Retry,chillnote/Features/SubscriptionView.swift,356,Button,False,True,low
Restore Purchases,chillnote/Features/SubscriptionView.swift,396,Text,False,True,low
Payment will be charged to your Apple ID account at confirmation of purchase.,chillnote/Features/SubscriptionView.swift,409,Text,False,True,medium
Subscription automatically renews unless canceled at least 24 hours before the end of the current period.,chillnote/Features/SubscriptionView.swift,414,Text,False,True,medium
Manage or cancel your subscription in Settings > Apple ID > Subscriptions.,chillnote/Features/SubscriptionView.swift,419,Text,False,True,medium
Save ~40% vs Monthly,chillnote/Features/SubscriptionView.swift,499,Text,False,True,low
Chillo is climbing the tree of knowledge...,chillnote/Features/AIContextChatView.swift,75,Text,False,True,low
Dismiss,chillnote/Features/AIContextChatView.swift,115,Button,False,True,low
Chillo,chillnote/Features/AIContextChatView.swift,126,modifier,False,True,low
Close,chillnote/Features/AIContextChatView.swift,130,Button,False,True,low
Ask Chillo...,chillnote/Features/AIContextChatView.swift,182,TextField,False,True,low
\(notes.count) Context Notes,chillnote/Features/AIContextChatView.swift,545,Text,True,False,high
Skip,chillnote/Features/OnboardingView.swift,379,Button,False,True,low
Welcome to ChillNote,chillnote/Features/OnboardingView.swift,436,Text,False,True,low
For minds that refuse to be boxed in.,chillnote/Features/OnboardingView.swift,440,Text,False,True,low
"Say it.
Save it.",chillnote/Features/OnboardingView.swift,478,Text,False,True,low
"""\(voicePrompt)""",chillnote/Features/OnboardingView.swift,487,Text,True,False,high
Processing audio...,chillnote/Features/OnboardingView.swift,513,Text,False,True,low
✨ Your Note,chillnote/Features/OnboardingView.swift,529,Text,False,True,low
